participant,age,gist_object,gist_person,gist_place,detail_object,detail_person,detail_place
100,0,0.47965128945633423,0.5820855000871992,0.3270349700838643,-0.145525952821163,0.14117097889799754,-0.11276995629447414
101,0,0.38467828307587687,0.06218050618697903,0.30812241616454505,0.3829708431025352,-0.3105295017040594,0.42257712736425834
102,0,0.0,0.030530022466339433,0.34648549263601286,0.19605020657666852,0.19611613513818404,-0.04030110523792201
103,0,-0.19583962627252902,-0.3731940572216748,0.24460947449731052,-0.24215989185171727,0.0,0.18794973950740584
104,0,0.18077503963618063,0.21809208681130218,0.22596879954522578,0.32856437033638547,0.260132990857236,-0.30248210145079824
105,0,0.2921848399152983,0.43953674088049904,0.6621221919717306,0.27914526311954124,-0.03922322702763681,0.2591001102525183
106,0,0.23956482285140718,0.674382504231634,0.5653009971610737,0.13843558237952516,0.15275252316519466,0.45056355688958294
107,1,0.04815434123430768,0.11120768749710654,-0.10834726777719228,-0.41620520566995944,0.6831300510639732,0.22034393241350794
108,0,0.0,0.2861649160331189,0.0,0.06104676956673598,-0.2991465132065496,0.311208236255858
109,0,0.5113449757360742,0.36312904074011065,0.5491495400993288,-0.07071067811865475,-0.2635231383473649,-0.07008766440504624
10,1,0.5632338554979737,0.4096923455208387,0.4968249454674895,-0.1077492789801539,-0.5245747682260263,-0.20460362864192413
110,0,0.024872202474791615,0.2295814081226022,0.3383304961806769,0.15464739353293547,0.5962847939999439,0.5196152422706632
111,0,0.4199378836053691,0.5282365156112561,0.48231670050488745,0.065033247714309,0.18676541689893342,-0.18752990192188695
112,0,0.48231670050488745,0.35491228905076627,0.0,0.3133397807202561,-0.19148542155126763,-0.2741994797425325
113,1,0.3059541931100104,0.5560515703669191,0.5493884565953392,-0.36426712970216085,-0.48677538491707045,-0.13948897882407374
116,1,0.09938661603664083,0.14929816946111754,-0.12217324333462777,0.38234290116272546,-0.08190487086369509,0.2663748008571634
117,1,0.4651032898551823,0.35637784547345136,0.25823662157400984,0.24743582965269675,0.2849014411490949,0.2646188733785785
118,1,0.0,0.0,0.0,0.03977196492840078,0.32596012026013244,-0.055001909821692674
11,1,-0.06042930398108286,0.23185164121816176,-0.10379629313515823,0.399411036475085,-0.28867513459481287,0.8660254037844386
120,1,0.1554174680400523,-0.1993299813665067,0.0,-0.3651483716701107,0.2988071523335984,-0.8944271909999159
121,1,-0.2959748208169342,0.34429724054214794,0.09325048082403138,0.23904572186687872,-0.38729833462074165,-0.458257569495584
122,1,0.39277222773930337,0.6299177237328449,0.22973469924374346,0.4146139914483855,-0.06546536707079771,0.5003702332976756
