,participant,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,sem1,sem2,sem3,sem4,sem5,sem6,spa1,spa2,spa3,spa4,spa5,spa6,fut1,fut2,fut3,fut4,fut5,fut6,per_1,per_2,per_3,per_4,sun_1,sun_2,sun_3,sun_4,shop_1,shop_2,shop_3,shop_4,scene_1,scene_2,scene_3,scene_4,age
3384,47,2,2,4,4,4,4,3,3,4,2,2,2,2,4,3,4,3,2,4,4,2,2,2,3,2,4,3,2,3,3,2,2,2,3,2,2,2,2,1,2,1,1,1
3408,48,2,4,4,2,2,3,2,3,4,4,2,2,3,2,4,4,2,2,4,4,4,4,4,5,5,1,5,4,4,4,3,4,3,4,4,3,3,4,3,4,3,3,1
3432,49,2,2,3,2,3,3,2,2,4,4,2,2,2,3,4,3,4,1,4,2,4,4,3,2,4,2,3,2,3,4,4,4,3,4,3,3,2,3,4,3,3,4,1
3456,4,4,2,4,4,2,3,1,1,2,4,4,4,3,2,2,4,4,1,4,3,2,2,1,4,1,4,2,2,2,3,4,5,3,5,3,2,3,2,3,2,2,3,1
3480,50,4,4,3,2,3,2,1,4,3,3,1,4,3,1,5,4,2,1,5,3,3,4,3,4,3,4,3,3,3,3,4,3,3,3,2,2,2,3,4,3,4,4,1
3504,51,1,1,4,3,4,4,1,2,1,2,3,3,3,2,3,3,5,1,4,4,2,1,4,5,3,3,4,4,5,5,5,5,5,5,5,4,3,2,3,3,2,2,1
3528,52,4,4,3,3,2,2,1,4,4,3,1,3,2,1,4,4,2,1,5,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,2,2,2,3,4,4,4,4,1
3552,53,5,5,5,1,1,1,1,1,1,5,2,3,5,2,1,1,5,4,2,4,4,2,4,4,4,2,2,2,1,2,3,3,3,2,2,1,1,2,1,2,2,2,1
3576,54,2,1,4,4,4,3,1,4,3,4,2,2,3,3,1,1,5,3,3,3,1,1,1,1,1,5,4,4,3,5,4,2,2,3,5,5,5,5,4,3,4,4,1
3600,55,4,2,2,2,2,1,2,2,4,4,2,3,3,2,4,4,4,2,4,3,1,2,4,4,4,2,4,4,3,2,4,5,4,5,4,4,3,3,3,4,3,3,1
3624,56,4,2,4,2,3,5,2,2,5,2,1,2,2,1,3,5,2,1,4,4,4,3,2,4,3,4,5,3,4,3,4,4,2,4,5,2,4,3,3,2,4,3,1
3648,57,3,2,4,4,3,4,4,4,3,2,4,1,2,4,3,4,4,1,5,5,2,3,4,4,4,1,2,3,1,4,4,4,1,2,3,2,3,5,3,2,3,2,1
3672,58,2,4,4,4,1,4,1,4,2,5,1,2,4,2,2,2,5,2,1,4,2,4,4,4,3,2,3,2,1,3,3,2,3,3,1,2,3,4,4,2,2,2,1
3696,59,4,2,4,2,2,3,2,2,3,4,1,3,3,3,4,4,2,1,4,4,1,2,2,1,1,5,2,2,1,1,3,3,2,4,3,3,4,3,1,2,2,1,1
3720,5,4,5,1,3,1,2,1,2,4,4,3,2,2,3,1,1,4,5,4,5,4,4,3,4,4,1,5,5,5,5,2,1,3,4,4,2,3,4,4,3,5,3,1
3744,60,3,3,2,4,2,3,2,4,4,2,1,2,2,3,3,3,2,2,4,4,4,3,4,4,4,1,5,4,4,5,4,4,3,3,3,1,3,4,2,2,1,2,1
3768,61,2,2,3,4,4,3,4,3,4,1,4,3,2,3,1,1,2,4,2,5,5,4,4,5,4,1,4,4,4,4,4,4,4,4,5,4,3,4,4,3,4,4,1
3792,62,2,2,3,2,4,3,2,1,4,4,1,2,2,1,1,1,5,4,2,5,4,4,3,4,3,3,3,3,4,4,2,4,3,4,4,3,2,3,2,2,3,2,1
3816,63,4,3,3,2,3,2,4,4,4,2,1,3,2,2,2,3,2,2,4,3,4,4,3,3,4,2,4,3,2,3,4,4,4,4,4,3,2,4,4,3,3,3,1
3840,64,1,2,3,1,5,4,1,2,5,4,1,2,1,1,5,4,3,1,5,4,2,4,1,3,4,2,3,2,3,2,4,4,5,4,3,2,1,4,2,3,1,3,1
3864,65,2,2,3,2,3,2,1,2,5,2,3,4,1,3,4,4,1,1,5,4,4,4,4,5,5,1,4,3,5,5,5,4,4,4,4,3,4,4,3,2,3,4,1
3888,66,2,2,3,2,4,4,4,2,4,2,2,4,3,4,2,2,4,2,4,5,2,2,4,4,4,3,3,3,2,3,3,3,4,4,2,3,3,4,3,3,2,2,1
3912,67,2,2,3,2,4,2,3,4,2,4,1,2,2,3,5,5,4,1,2,4,2,2,4,2,4,4,1,2,1,2,1,2,2,1,3,2,2,3,1,1,2,2,0
3936,68,4,3,2,2,2,2,1,3,2,3,4,4,4,4,2,2,4,2,2,3,3,4,4,2,4,3,4,3,3,3,4,4,3,3,4,3,4,3,4,4,4,3,1
3960,69,4,3,2,3,2,2,2,2,4,5,2,2,3,3,1,2,4,4,3,3,2,2,2,5,2,4,1,1,1,2,2,1,2,2,2,2,2,1,1,3,3,1,0
3984,6,4,1,4,3,4,4,1,3,5,4,1,1,1,2,5,1,4,4,3,5,4,4,4,5,4,2,3,4,4,3,5,5,4,5,1,2,1,2,4,4,4,5,1
4008,70,4,2,4,1,2,2,1,2,2,5,1,4,4,3,4,5,2,1,5,3,2,2,2,2,2,5,1,1,1,1,3,3,2,3,3,2,4,4,3,3,3,2,1
4032,71,2,2,4,5,3,4,2,4,4,5,2,1,4,4,5,4,2,2,3,4,2,2,1,2,2,4,4,4,5,2,2,4,5,5,5,2,5,3,4,2,4,5,1
4056,72,4,5,2,2,1,2,1,1,1,5,1,1,5,1,4,4,4,1,5,3,1,1,2,1,1,3,3,3,1,4,4,3,3,3,4,4,2,3,2,2,2,2,1
4080,73,2,4,2,2,4,3,2,3,3,4,4,2,4,5,3,4,4,2,5,4,2,2,2,2,2,4,4,4,3,2,4,4,3,3,5,2,3,5,3,3,3,3,0
4104,74,2,2,4,5,4,4,4,4,4,2,4,3,3,4,3,4,3,1,5,4,4,4,4,4,4,2,5,5,5,5,3,3,3,3,4,4,4,3,3,3,3,3,1
4128,75,2,3,4,2,2,2,3,4,3,4,3,2,2,2,4,3,4,2,4,4,4,4,4,4,3,2,4,4,2,3,4,3,2,4,4,3,4,4,2,3,4,2,1
4152,76,2,2,4,4,4,4,4,4,4,2,4,1,2,2,5,5,2,1,4,4,4,4,4,2,4,2,4,4,3,5,5,5,5,5,4,3,4,5,5,5,5,5,0
4176,77,2,3,2,3,2,2,2,3,2,3,2,3,3,5,1,1,4,4,3,3,4,3,4,4,3,3,5,4,3,3,3,3,4,5,3,3,2,4,3,3,2,2,1
4200,78,2,4,4,4,2,2,2,4,2,4,1,4,3,1,1,1,5,2,2,4,4,4,4,5,4,1,5,4,3,5,3,3,2,2,4,4,5,3,4,3,3,2,0
4224,79,2,2,4,4,4,4,3,3,3,3,2,3,1,4,3,4,4,1,5,5,5,4,4,4,4,2,5,5,4,4,3,3,4,5,5,3,4,5,4,4,4,4,1
4248,7,2,4,2,2,2,3,1,4,4,2,4,5,3,3,1,4,4,2,3,3,2,2,3,3,3,3,4,3,4,3,4,3,3,3,3,2,2,4,4,4,4,3,1
4272,80,1,2,4,4,4,4,3,4,4,2,4,4,2,4,2,4,4,3,4,4,4,4,4,4,4,2,4,3,4,3,4,4,4,4,3,3,3,4,5,5,5,5,1
4296,81,3,2,4,3,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,4,3,4,4,4,4,5,4,4,5,4,4,4,4,4,3,3,3,4,3,3,3,0
4320,82,4,4,3,2,3,4,1,2,4,5,1,2,5,5,1,2,4,5,2,3,4,4,4,5,4,2,3,2,2,3,3,3,3,4,3,3,4,2,3,5,4,3,0
4344,83,3,2,4,4,2,1,2,3,2,2,1,4,4,4,1,1,5,4,2,4,3,2,4,4,5,2,4,2,3,4,2,3,4,4,4,3,2,4,3,4,4,2,0
4368,84,2,4,4,4,3,4,2,4,3,4,4,4,2,4,3,3,2,2,4,2,4,4,4,4,4,2,4,5,3,3,4,3,3,4,3,4,3,3,3,3,2,2,1
4392,85,2,1,4,3,2,2,2,4,4,2,2,2,1,4,1,2,4,1,4,4,2,2,4,4,3,3,3,2,2,2,3,3,4,3,4,2,2,4,3,4,2,3,1
4416,86,3,2,4,5,4,5,1,5,4,2,4,2,5,5,3,2,5,5,2,3,1,1,1,1,1,5,4,4,2,5,4,3,3,3,5,3,5,5,3,2,2,1,0
4440,87,2,4,3,2,2,3,2,2,4,4,3,1,4,4,5,5,4,2,3,4,4,3,3,2,4,2,4,2,1,4,4,4,3,4,3,2,3,4,2,3,3,2,0
4464,88,2,2,4,4,4,4,4,4,4,2,2,4,2,4,5,4,2,1,5,4,4,4,4,4,4,2,4,4,3,2,4,4,4,4,4,4,5,4,3,4,4,4,0
4488,89,2,2,2,5,2,2,2,5,1,4,1,2,5,2,2,2,3,3,3,3,3,4,2,4,3,3,4,4,3,5,2,3,3,3,3,2,2,3,3,4,2,3,0
4512,8,3,4,2,2,2,2,2,2,2,4,4,4,3,3,3,4,2,2,4,3,3,3,3,2,3,3,3,2,2,2,3,3,3,2,3,2,3,3,3,2,3,3,1
4536,90,1,2,4,4,5,4,2,4,1,4,5,5,4,5,4,5,4,2,4,4,2,2,4,2,4,4,2,1,1,4,4,4,3,4,5,4,4,3,4,4,4,4,0
4560,91,3,2,3,5,3,4,1,4,4,3,1,1,4,2,3,3,4,2,4,5,2,4,3,4,4,1,5,5,5,4,4,5,3,4,5,5,5,5,4,4,4,5,0
4584,92,3,3,4,5,3,4,4,4,4,2,5,5,2,5,2,2,4,4,3,4,4,3,3,4,4,2,4,3,2,4,4,4,4,3,3,3,3,2,3,3,3,3,0
4608,93,4,5,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0
4632,94,3,3,3,2,3,3,2,2,3,3,2,4,2,3,4,4,2,2,4,4,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,2,3,2,3,3,3,3,1
4656,95,4,4,5,4,2,4,1,4,4,2,2,2,4,2,2,2,4,5,2,5,5,5,4,4,4,2,3,3,4,5,4,4,4,3,4,4,4,5,5,5,5,4,0
4680,96,2,2,4,5,3,4,2,2,4,2,5,4,2,4,5,5,3,1,4,4,5,2,2,4,4,2,4,5,2,5,5,4,4,5,5,3,3,1,3,2,2,1,0
4704,97,3,4,4,4,3,3,3,4,2,4,3,2,4,4,1,2,4,3,2,4,4,4,3,4,4,2,4,4,5,5,3,3,2,2,3,3,1,3,2,2,2,2,0
4728,98,2,2,4,2,4,4,2,3,2,4,1,1,4,2,2,2,4,3,2,4,4,2,2,5,4,2,4,4,3,4,4,4,4,4,4,2,4,3,4,3,3,4,0
4752,99,4,2,3,4,1,4,4,2,1,3,3,4,4,4,3,2,3,4,3,2,3,4,4,2,4,2,4,3,2,4,4,3,3,4,4,3,2,2,3,4,3,3,0
4776,9,4,2,2,1,4,2,4,3,1,5,2,1,2,3,2,2,2,2,4,5,4,4,5,5,4,1,4,3,2,2,2,4,3,4,2,1,1,2,2,3,3,3,1
