,participant,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,sem1,sem2,sem3,sem4,sem5,sem6,spa1,spa2,spa3,spa4,spa5,spa6,fut1,fut2,fut3,fut4,fut5,fut6,per_1,per_2,per_3,per_4,sun_1,sun_2,sun_3,sun_4,shop_1,shop_2,shop_3,shop_4,scene_1,scene_2,scene_3,scene_4,age
792,130,4,4,4,2,4,1,1,2,2,4,2,5,2,2,2,2,4,2,4,4,4,2,2,2,2,2,2,3,3,3,2,2,2,2,1,3,2,2,1,1,1,1,0
816,131,5,4,2,2,1,2,1,1,3,5,2,2,3,1,3,2,5,1,2,1,1,1,1,2,1,5,2,2,2,3,2,3,2,2,4,2,3,3,3,2,3,1,0
840,132,1,3,2,1,2,4,1,1,5,2,1,1,4,4,5,5,4,2,2,4,2,2,1,1,3,5,2,2,2,2,1,1,1,1,2,1,1,2,3,2,2,2,0
864,133,4,2,2,1,4,1,1,1,2,5,5,5,3,5,3,4,5,1,5,5,2,1,2,5,2,5,1,2,1,1,2,2,1,3,3,2,2,3,2,2,2,1,0
888,134,2,3,4,3,4,4,2,2,4,3,4,3,4,3,4,3,2,4,4,4,4,3,3,4,3,2,3,3,2,2,4,3,3,4,4,2,4,4,3,4,4,3,0
912,135,1,1,4,4,5,5,2,4,5,2,1,5,4,1,2,1,5,4,4,4,5,2,2,4,4,2,3,2,4,4,3,4,4,3,2,2,4,5,3,4,5,4,0
936,136,4,3,4,1,3,3,1,1,4,2,5,3,3,4,5,5,2,1,5,5,4,3,4,4,4,2,3,2,4,3,4,3,1,1,4,4,3,4,4,2,4,4,0
960,137,2,2,4,4,4,4,3,3,4,2,4,5,3,4,3,2,4,4,4,3,4,4,4,4,4,2,4,4,4,4,3,3,4,4,5,4,4,5,4,3,4,3,0
984,138,4,3,3,1,2,2,1,2,3,4,1,1,2,1,4,4,4,2,3,4,2,4,2,4,5,2,3,4,3,3,4,5,5,5,5,3,4,5,4,4,3,4,0
1008,139,1,1,5,5,5,5,4,4,4,2,4,5,2,4,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,5,5,3,4,3,4,4,4,4,5,5,5,5,0
1032,13,1,1,4,4,5,4,5,4,5,2,5,5,1,5,4,5,2,1,5,4,4,4,4,4,4,2,5,5,4,5,5,5,3,5,4,3,3,4,3,4,3,3,1
1056,140,4,3,3,2,4,4,3,3,3,3,3,4,3,3,2,2,4,4,2,4,3,3,3,4,3,2,4,4,4,4,4,3,2,3,4,4,4,4,4,4,3,3,0
